name,age,rank
Andrei Soltoianu,21.7,-1
Andrei Stoliarov,24.7,113
Andrei Vasilevski,19.1,934
Andrej Kracman,19.6,566
Andrej Martin,28.8,123
Andrej Nedic,18.7,806
Andreja Petrovic,22.9,1265
Andres Andrade,25.5,390
Andres Artunedo Martinavarro,20.3,340
Andres Bucaro,22.7,-1
Andres Filimonov,33.2,-1
Andres Martin,21.8,670
Andres Molteni,25.4,258
Andres Pedroso,25.5,286
Andres Weisskopf,27.3,-1
Andrew Anderson,25.8,1564
Andrew Carlson,25.9,1089
Andrew Harris,26.5,209
Andrew Ilie,24.7,69
Andrew Whittington,23.4,196
Andrey Dernovskiy,19.1,868
Andrey Golubev,24.1,84
Andrey Kumantsov,25.3,356
Andrey Kuznetsov,24.2,96
Andrey Rublev,23.3,36
Andrey Stepanov,20.1,-1
Andrian Raturandang,24.6,1029
Andy Fahlke,20.9,185
Andy Murray,26.0,33
Andy Ram,24.5,494
Andy Roddick,23.7,17
Anil Yuksel,26.7,504
Anis Ghorbel,22.6,564
Anoosha Shahgholi,24.4,1152
Antal Van Der Duim,18.4,995
Ante Pavic,25.7,330
Anthony Jackie Tang,19.1,1519
Anthony Marshall,26.9,-1
Anthony Susanto,23.8,1761
Antoine Bellier,23.1,409
Antoine Breikeh,17.5,-1
Antoine Escoffier,31.9,172
Antoine Hoang,24.1,134
Anton Tsymbalov,18.0,-1
Antonio Van Grichen,22.4,-1
Antonio Veic,23.4,189
Antony Dupuis,30.0,95
Antso Rakotondramanga,26.4,1761
Aqeel Khan,30.6,1028
Ari Fahresi,,-1
Ariel Behar,22.3,1039
Ariez Elyaas Deen Heshaam,16.8,1557
Aristotelis Thanos,21.9,1082
Arjun Kadhe,25.7,598
Arklon Huertas Del Pino,28.5,491
Armin Sandbichler,21.5,570
Arnau Brugues Davi,27.7,184
Arnaud Clement,27.1,56
Arnaud Di Pasquale,22.4,110
Arsenije Zlatanovic,19.4,1421
Artem Derepasko,21.4,272
Artem Dubrivnyy,20.7,424
Artem Sitak,26.5,459
Artem Smirnov,25.0,456
Arthur Cazaux,21.3,141
Arthur De Greef,24.7,161
Arthur Fery,21.4,319
Arthur Fils,19.6,51
Arthur Rinderknech,27.4,74
Arturs Lazdins,18.3,1469
Arvind Parmar,24.5,179
Ashkan Shokoofi,23.3,1129
Asif Ismail,32.3,-1
Asim Shafik,26.4,-1
Aslan Karatsev,28.4,62
Attila Balazs,27.9,234
Attila Savolt,26.0,114
August Holmgren,24.1,648
Augustin Gensse,25.7,300
Augusto Ricciardi Castelli,25.9,-1
Augusto Sanabria,19.8,-1
Austen Childs,21.3,-1
Austin Krajicek,25.0,166
Austin Smith,22.6,-1
Axel Michon,23.4,206
Axel Pretzsch,24.9,131
Ayed Zatar,21.7,-1
Aymeric Mara,18.4,-1
Ayoub Chakrouni,22.8,1206
Ayrton Wibowo,19.9,1356
Aziz Avganov,19.5,-1
Aziz Dougaz,24.3,401
Aziz Ouakaa,22.2,832
Balazs Veress,21.7,1321
Bar Tzuf Botzer,20.7,834
Baris Erguden,25.0,1395
Baris Ergun,25.5,1195
Barry Cowan,26.4,200
Barry King,26.0,899
Bartlomiej Dabrowski,29.2,523
Bartolome Salva Vidal,20.3,359
Bassam Beidas,23.6,748
Bastian Knittel,28.1,198
Bastian Trinker,25.0,402
Beibit Zhukayev,23.4,247
Ben Ellwood,26.3,827
Ben Patael,20.4,676
Ben Qiang Zhu,23.3,564
Ben Shelton,21.1,37
Benedict Badza,18.6,-1
Benedikt Dorsch,26.5,211
Benito Jose Suriano,17.0,-1
Benjamin Balleret,28.0,376
Benjamin Becker,29.9,77
Benjamin Bonzi,26.1,83
Benjamin Hannestad,19.7,1200
Benjamin Hassan,26.9,281
Benjamin Lock,25.6,601
Benjamin Mitchell,20.2,268
Benoit Paire,27.5,52
Bernabe Zapata Miralles,25.6,93
Bernard Tomic,22.0,72
Bernardo Mota,30.3,382
Bernd Karbacher,32.0,290
Bertrand Madsen,31.4,-1
Billy Harris,29.3,144
Bing Chao Lin,26.3,1033
Bjorn Fratangelo,24.5,144
Bjorn Munroe,24.6,-1
Bjorn Phau,28.2,114
Bjorn Rehnquist,28.5,238
Blaise Bicknell,20.5,833
Blake Mott,22.7,384
Blake Strode,24.5,393
Blaz Kavcic,25.6,122
Blaz Rola,25.1,151
Blazej Koniusz,19.9,524
Bob Borella,19.9,1150
Bob Bryan,24.3,208
Bobby Reynolds,26.0,136
Bogdan Borza,20.8,797
Bohdan Ulihrach,27.2,84
Bor Artnak,18.3,1038
Boris Arias,30.2,-1
Boris Pashanski,24.0,110
Borna Coric,22.2,52
Borna Gojo,24.6,172
Bostjan Osabnik,21.5,706
Botic Van De Zandschulp,27.2,59
Bowen Ouyang,22.3,1098
Boy Westerhof,27.7,236
Bradley Klahn,26.4,173
Brandon Burke,16.4,-1
Brandon Holt,24.9,240
Brandon Nakashima,21.4,74
Brandon Perez,20.0,1796
Branko Djuric,19.7,781
Brayden Schnur,23.9,186
Brendan Evans,22.2,263
Brett Baudinet,24.2,-1
Brian Baker,25.9,255
Brian Dabul,25.6,110
Brian Hung,23.8,-1
Brian Macphie,27.7,419
Brian Shi,19.9,-1
Brian Vahaly,23.9,113
Brian Wilson,24.0,420
Bruno Abdel Nour,20.1,1135
Bruno Agostinelli,22.2,1574
Bruno Britez,18.3,-1
Bruno Echagaray,23.0,337
Bruno Rodriguez,22.8,500
Bruno Rosa,18.4,1124
Bruno Soares,26.2,347
Brydan Klein,22.9,266
Bu Yunchaokete,22.4,124
Byron Black,31.0,75
Caio Zampieri,22.5,510
Caleb Chakravarthi,23.0,-1
Calvin Hemery,23.0,207
